Path_Index,Voltage_V,Target_Energetic_Span_eV,Steps,Pathway_Topology,Base_dG_List,Is_PCET_List
1,-2.0,1.4768,11,(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*COCHO) -> (*COHCHO) -> (*COHCH2O) -> (*COHCH2OH) -> (*CHOHCH2OH) -> (CH2OHCH2OH) -> (*CH2OHCH2) -> (CH2CH2),0.0264|2.0926|-1.5627|1.4768|0.9108|-0.6508|-0.6015|-0.4852|-1.1691|0.4672|-1.4043,0|1|1|0|1|1|1|1|1|1|1
1,-1.9,1.4768,11,(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*COCHO) -> (*COHCHO) -> (*COHCH2O) -> (*COHCH2OH) -> (*CHOHCH2OH) -> (CH2OHCH2OH) -> (*CH2OHCH2) -> (CH2CH2),0.0264|2.0926|-1.5627|1.4768|0.9108|-0.6508|-0.6015|-0.4852|-1.1691|0.4672|-1.4043,0|1|1|0|1|1|1|1|1|1|1
1,-1.8,1.4768,11,(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*COCHO) -> (*COHCHO) -> (*COHCH2O) -> (*COHCH2OH) -> (*CHOHCH2OH) -> (CH2OHCH2OH) -> (*CH2OHCH2) -> (CH2CH2),0.0264|2.0926|-1.5627|1.4768|0.9108|-0.6508|-0.6015|-0.4852|-1.1691|0.4672|-1.4043,0|1|1|0|1|1|1|1|1|1|1
1,-1.7,1.4768,11,(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*COCHO) -> (*COHCHO) -> (*COHCH2O) -> (*COHCH2OH) -> (*CHOHCH2OH) -> (CH2OHCH2OH) -> (*CH2OHCH2) -> (CH2CH2),0.0264|2.0926|-1.5627|1.4768|0.9108|-0.6508|-0.6015|-0.4852|-1.1691|0.4672|-1.4043,0|1|1|0|1|1|1|1|1|1|1
1,-1.6,1.4768,11,(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*COCHO) -> (*COHCHO) -> (*COHCH2O) -> (*COHCH2OH) -> (*CHOHCH2OH) -> (CH2OHCH2OH) -> (*CH2OHCH2) -> (CH2CH2),0.0264|2.0926|-1.5627|1.4768|0.9108|-0.6508|-0.6015|-0.4852|-1.1691|0.4672|-1.4043,0|1|1|0|1|1|1|1|1|1|1
1,-1.5,1.4768,11,(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*COCHO) -> (*COHCHO) -> (*COHCH2O) -> (*COHCH2OH) -> (*CHOHCH2OH) -> (CH2OHCH2OH) -> (*CH2OHCH2) -> (CH2CH2),0.0264|2.0926|-1.5627|1.4768|0.9108|-0.6508|-0.6015|-0.4852|-1.1691|0.4672|-1.4043,0|1|1|0|1|1|1|1|1|1|1
1,-1.4,1.4768,11,(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*COCHO) -> (*COHCHO) -> (*COHCH2O) -> (*COHCH2OH) -> (*CHOHCH2OH) -> (CH2OHCH2OH) -> (*CH2OHCH2) -> (CH2CH2),0.0264|2.0926|-1.5627|1.4768|0.9108|-0.6508|-0.6015|-0.4852|-1.1691|0.4672|-1.4043,0|1|1|0|1|1|1|1|1|1|1
1,-1.3,1.4768,11,(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*COCHO) -> (*COHCHO) -> (*COHCH2O) -> (*COHCH2OH) -> (*CHOHCH2OH) -> (CH2OHCH2OH) -> (*CH2OHCH2) -> (CH2CH2),0.0264|2.0926|-1.5627|1.4768|0.9108|-0.6508|-0.6015|-0.4852|-1.1691|0.4672|-1.4043,0|1|1|0|1|1|1|1|1|1|1
1,-1.2,1.4768,11,(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*COCHO) -> (*COHCHO) -> (*COHCH2O) -> (*COHCH2OH) -> (*CHOHCH2OH) -> (CH2OHCH2OH) -> (*CH2OHCH2) -> (CH2CH2),0.0264|2.0926|-1.5627|1.4768|0.9108|-0.6508|-0.6015|-0.4852|-1.1691|0.4672|-1.4043,0|1|1|0|1|1|1|1|1|1|1
1,-1.1,1.4768,11,(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*COCHO) -> (*COHCHO) -> (*COHCH2O) -> (*COHCH2OH) -> (*CHOHCH2OH) -> (CH2OHCH2OH) -> (*CH2OHCH2) -> (CH2CH2),0.0264|2.0926|-1.5627|1.4768|0.9108|-0.6508|-0.6015|-0.4852|-1.1691|0.4672|-1.4043,0|1|1|0|1|1|1|1|1|1|1
1,-1.0,1.4768,11,(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*COCHO) -> (*COHCHO) -> (*COHCH2O) -> (*COHCH2OH) -> (*CHOHCH2OH) -> (CH2OHCH2OH) -> (*CH2OHCH2) -> (CH2CH2),0.0264|2.0926|-1.5627|1.4768|0.9108|-0.6508|-0.6015|-0.4852|-1.1691|0.4672|-1.4043,0|1|1|0|1|1|1|1|1|1|1
1,-0.9,1.4876,11,(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*COCHO) -> (*COHCHO) -> (*COHCH2O) -> (*COHCH2OH) -> (*CHOHCH2OH) -> (CH2OHCH2OH) -> (*CH2OHCH2) -> (CH2CH2),0.0264|2.0926|-1.5627|1.4768|0.9108|-0.6508|-0.6015|-0.4852|-1.1691|0.4672|-1.4043,0|1|1|0|1|1|1|1|1|1|1
1,-0.8,1.5876,11,(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*COCHO) -> (*COHCHO) -> (*COHCH2O) -> (*COHCH2OH) -> (*CHOHCH2OH) -> (CH2OHCH2OH) -> (*CH2OHCH2) -> (CH2CH2),0.0264|2.0926|-1.5627|1.4768|0.9108|-0.6508|-0.6015|-0.4852|-1.1691|0.4672|-1.4043,0|1|1|0|1|1|1|1|1|1|1
