Node_Index,Intermediate_State,Relative_Free_Energy_G_eV,Is_TDI_Valley,Is_TDTS_Peak,Forward_Elementary_Step,Step_dG_U_eV,AI_Extracted_Importance
0,(CO2),0.0,True,False,(CO2) ↓ (*CO2) (Chem),0.026399999856948853,0.14926576614379883
1,(*CO2),0.026399999856948853,False,False,(*CO2) ↓ (*COOH) (H+/e-),1.4926000833511353,1.0
2,(*COOH),1.519000083208084,False,True,(*COOH) ↓ (*CO) (H+/e-),-2.1627001762390137,0.29016751050949097
3,(*CO),-0.6437000930309296,False,False,(*CO) ↓ (*COCO) (Chem),0.9599999785423279,0.9715267419815063
4,(*COCO),0.3162998855113983,False,False,(*COCO) ↓ (*COCHO) (H+/e-),-0.8967000246047974,0.0
5,(*COCHO),-0.580400139093399,False,False,(*COCHO) ↓ (*COHCHO) (H+/e-),0.3107999563217163,0.0
6,(*COHCHO),-0.26960018277168274,False,False,(*COHCHO) ↓ (*COHCH2O) (H+/e-),-1.2508000135421753,0.0
7,(*COHCH2O),-1.520400196313858,False,False,(*COHCH2O) ↓ (*COHCH2OH) (H+/e-),-1.2014999389648438,0.1284346580505371
8,(*COHCH2OH),-2.721900135278702,False,False,(*COHCH2OH) ↓ (*CHOHCH2OH) (H+/e-),-1.0852000713348389,0.7807514071464539
9,(*CHOHCH2OH),-3.8071002066135406,False,False,(*CHOHCH2OH) ↓ (CH2OHCH2OH) (H+/e-),-1.7691000699996948,0.11108308285474777
10,(CH2OHCH2OH),-5.5762002766132355,False,False,(CH2OHCH2OH) ↓ (*CH2OHCH2) (H+/e-),-0.13280001282691956,0.5250025391578674
11,(*CH2OHCH2),-5.709000289440155,False,False,(*CH2OHCH2) ↓ (CH2CH2) (H+/e-),-2.004300117492676,0.761928915977478
12,(CH2CH2),-7.713300406932831,False,False,End_of_Pathway,,
