Node_Index,Intermediate_State,Relative_Free_Energy_G_eV,Is_TDI_Valley,Is_TDTS_Peak,Forward_Elementary_Step,Step_dG_U_eV,AI_Extracted_Importance
0,(CO2),0.0,True,False,(CO2) ↓ (*CO2) (Chem),0.026399999856948853,0.13861925899982452
1,(*CO2),0.026399999856948853,False,False,(*CO2) ↓ (*COOH) (H+/e-),1.4926000833511353,0.9606812000274658
2,(*COOH),1.519000083208084,False,True,(*COOH) ↓ (*CO) (H+/e-),-2.1627001762390137,0.8052095770835876
3,(*CO),-0.6437000930309296,False,False,(*CO) ↓ (*CHO) (H+/e-),0.6086999177932739,1.0
4,(*CHO),-0.03500017523765564,False,False,(*CHO) ↓ (*COHCHO) (Chem),-0.2395000010728836,0.1006079837679863
5,(*COHCHO),-0.27450017631053925,False,False,(*COHCHO) ↓ (*COHCH2O) (H+/e-),-1.2508000135421753,0.9524295330047607
6,(*COHCH2O),-1.5253001898527145,False,False,(*COHCH2O) ↓ (*COHCH2OH) (H+/e-),-1.2014999389648438,0.0
7,(*COHCH2OH),-2.7268001288175583,False,False,(*COHCH2OH) ↓ (*CHOHCH2OH) (H+/e-),-1.0852000713348389,0.8810474872589111
8,(*CHOHCH2OH),-3.812000200152397,False,False,(*CHOHCH2OH) ↓ (CH2OHCH2OH) (H+/e-),-1.7691000699996948,0.8655991554260254
9,(CH2OHCH2OH),-5.581100270152092,False,False,(CH2OHCH2OH) ↓ (*CH2OHCH2) (H+/e-),-0.13280001282691956,0.7162339687347412
10,(*CH2OHCH2),-5.7139002829790115,False,False,(*CH2OHCH2) ↓ (CH2CH2) (H+/e-),-2.004300117492676,0.20404309034347534
11,(CH2CH2),-7.718200400471687,False,False,End_of_Pathway,,
