Path_Index,Reaction_Steps,Total_Free_Energy_dG,Sum_Positive_dG_Barrier,Full_Reaction_Pathway,Simplified_Pathway
1,11,-1.09,5.84,"(CO2) ==[REACT_001, ΔG:0.0264]==> (*CO2) ==[REACT_002, ΔG:2.0926]==> (*COOH) ==[REACT_003, ΔG:-1.5627]==> (*CO) ==[REACT_061, ΔG:1.4768]==> (*COCHO) ==[REACT_006, ΔG:-0.2253]==> (*CHOCHO) ==[REACT_015, ΔG:0.1258]==> (*CHOCH2O) ==[REACT_016, ΔG:-1.8899]==> (*CHOHCH2O) ==[REACT_017, ΔG:1.5732]==> (*CH2OHCH2O) ==[REACT_020, ΔG:-1.6918]==> (*CH2CH2O) ==[REACT_021, ΔG:0.549]==> (*CH2CH2OH) ==[REACT_054, ΔG:-1.5649]==> (CH3CH2OH)",(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*COCHO) -> (*CHOCHO) -> (*CHOCH2O) -> (*CHOHCH2O) -> (*CH2OHCH2O) -> (*CH2CH2O) -> (*CH2CH2OH) -> (CH3CH2OH)
2,11,0.34,7.05,"(CO2) ==[REACT_001, ΔG:0.0264]==> (*CO2) ==[REACT_002, ΔG:2.0926]==> (*COOH) ==[REACT_003, ΔG:-1.5627]==> (*CO) ==[REACT_004, ΔG:1.2087]==> (*CHO) ==[REACT_063, ΔG:1.478]==> (*CHOCHO) ==[REACT_015, ΔG:0.1258]==> (*CHOCH2O) ==[REACT_016, ΔG:-1.8899]==> (*CHOHCH2O) ==[REACT_017, ΔG:1.5732]==> (*CH2OHCH2O) ==[REACT_020, ΔG:-1.6918]==> (*CH2CH2O) ==[REACT_021, ΔG:0.549]==> (*CH2CH2OH) ==[REACT_054, ΔG:-1.5649]==> (CH3CH2OH)",(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*CHO) -> (*CHOCHO) -> (*CHOCH2O) -> (*CHOHCH2O) -> (*CH2OHCH2O) -> (*CH2CH2O) -> (*CH2CH2OH) -> (CH3CH2OH)
3,11,-3.47,3.51,"(CO2) ==[REACT_001, ΔG:0.0264]==> (*CO2) ==[REACT_002, ΔG:2.0926]==> (*COOH) ==[REACT_003, ΔG:-1.5627]==> (*CO) ==[REACT_062, ΔG:-0.058]==> (*COHCO) ==[REACT_027, ΔG:-0.4064]==> (*COHCOH) ==[REACT_029, ΔG:0.1219]==> (*CHOHCOH) ==[REACT_031, ΔG:-0.9001]==> (*CH2OHCOH) ==[REACT_041, ΔG:-0.7072]==> (*CH2COH) ==[REACT_042, ΔG:-1.7832]==> (*CH2CHOH) ==[REACT_043, ΔG:1.2731]==> (*CH2CH2OH) ==[REACT_054, ΔG:-1.5649]==> (CH3CH2OH)",(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*COHCO) -> (*COHCOH) -> (*CHOHCOH) -> (*CH2OHCOH) -> (*CH2COH) -> (*CH2CHOH) -> (*CH2CH2OH) -> (CH3CH2OH)
4,11,-3.01,6.46,"(CO2) ==[REACT_001, ΔG:0.0264]==> (*CO2) ==[REACT_002, ΔG:2.0926]==> (*COOH) ==[REACT_003, ΔG:-1.5627]==> (*CO) ==[REACT_059, ΔG:2.9495]==> (*COH) ==[REACT_064, ΔG:-2.9506]==> (*COHCOH) ==[REACT_029, ΔG:0.1219]==> (*CHOHCOH) ==[REACT_031, ΔG:-0.9001]==> (*CH2OHCOH) ==[REACT_041, ΔG:-0.7072]==> (*CH2COH) ==[REACT_042, ΔG:-1.7832]==> (*CH2CHOH) ==[REACT_043, ΔG:1.2731]==> (*CH2CH2OH) ==[REACT_054, ΔG:-1.5649]==> (CH3CH2OH)",(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*COH) -> (*COHCOH) -> (*CHOHCOH) -> (*CH2OHCOH) -> (*CH2COH) -> (*CH2CHOH) -> (*CH2CH2OH) -> (CH3CH2OH)
5,11,-1.09,5.78,"(CO2) ==[REACT_001, ΔG:0.0264]==> (*CO2) ==[REACT_002, ΔG:2.0926]==> (*COOH) ==[REACT_003, ΔG:-1.5627]==> (*CO) ==[REACT_061, ΔG:1.4768]==> (*COCHO) ==[REACT_014, ΔG:0.9108]==> (*COHCHO) ==[REACT_038, ΔG:-0.3522]==> (*CHOHCOH) ==[REACT_031, ΔG:-0.9001]==> (*CH2OHCOH) ==[REACT_041, ΔG:-0.7072]==> (*CH2COH) ==[REACT_042, ΔG:-1.7832]==> (*CH2CHOH) ==[REACT_043, ΔG:1.2731]==> (*CH2CH2OH) ==[REACT_054, ΔG:-1.5649]==> (CH3CH2OH)",(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*COCHO) -> (*COHCHO) -> (*CHOHCOH) -> (*CH2OHCOH) -> (*CH2COH) -> (*CH2CHOH) -> (*CH2CH2OH) -> (CH3CH2OH)
6,11,-2.51,4.6,"(CO2) ==[REACT_001, ΔG:0.0264]==> (*CO2) ==[REACT_002, ΔG:2.0926]==> (*COOH) ==[REACT_003, ΔG:-1.5627]==> (*CO) ==[REACT_004, ΔG:1.2087]==> (*CHO) ==[REACT_065, ΔG:-0.2395]==> (*COHCHO) ==[REACT_038, ΔG:-0.3522]==> (*CHOHCOH) ==[REACT_031, ΔG:-0.9001]==> (*CH2OHCOH) ==[REACT_041, ΔG:-0.7072]==> (*CH2COH) ==[REACT_042, ΔG:-1.7832]==> (*CH2CHOH) ==[REACT_043, ΔG:1.2731]==> (*CH2CH2OH) ==[REACT_054, ΔG:-1.5649]==> (CH3CH2OH)",(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*CHO) -> (*COHCHO) -> (*CHOHCOH) -> (*CH2OHCOH) -> (*CH2COH) -> (*CH2CHOH) -> (*CH2CH2OH) -> (CH3CH2OH)
7,11,-0.77,6.34,"(CO2) ==[REACT_001, ΔG:0.0264]==> (*CO2) ==[REACT_002, ΔG:2.0926]==> (*COOH) ==[REACT_003, ΔG:-1.5627]==> (*CO) ==[REACT_059, ΔG:2.9495]==> (*COH) ==[REACT_065, ΔG:-0.2395]==> (*COHCHO) ==[REACT_038, ΔG:-0.3522]==> (*CHOHCOH) ==[REACT_031, ΔG:-0.9001]==> (*CH2OHCOH) ==[REACT_041, ΔG:-0.7072]==> (*CH2COH) ==[REACT_042, ΔG:-1.7832]==> (*CH2CHOH) ==[REACT_043, ΔG:1.2731]==> (*CH2CH2OH) ==[REACT_054, ΔG:-1.5649]==> (CH3CH2OH)",(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*COH) -> (*COHCHO) -> (*CHOHCOH) -> (*CH2OHCOH) -> (*CH2COH) -> (*CH2CHOH) -> (*CH2CH2OH) -> (CH3CH2OH)
8,12,-1.9,5.33,"(CO2) ==[REACT_001, ΔG:0.0264]==> (*CO2) ==[REACT_002, ΔG:2.0926]==> (*COOH) ==[REACT_003, ΔG:-1.5627]==> (*CO) ==[REACT_060, ΔG:0.96]==> (*COCO) ==[REACT_005, ΔG:-0.2967]==> (*COCHO) ==[REACT_006, ΔG:-0.2253]==> (*CHOCHO) ==[REACT_015, ΔG:0.1258]==> (*CHOCH2O) ==[REACT_016, ΔG:-1.8899]==> (*CHOHCH2O) ==[REACT_017, ΔG:1.5732]==> (*CH2OHCH2O) ==[REACT_020, ΔG:-1.6918]==> (*CH2CH2O) ==[REACT_021, ΔG:0.549]==> (*CH2CH2OH) ==[REACT_054, ΔG:-1.5649]==> (CH3CH2OH)",(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*COCO) -> (*COCHO) -> (*CHOCHO) -> (*CHOCH2O) -> (*CHOHCH2O) -> (*CH2OHCH2O) -> (*CH2CH2O) -> (*CH2CH2OH) -> (CH3CH2OH)
9,12,0.12,7.05,"(CO2) ==[REACT_001, ΔG:0.0264]==> (*CO2) ==[REACT_002, ΔG:2.0926]==> (*COOH) ==[REACT_003, ΔG:-1.5627]==> (*CO) ==[REACT_004, ΔG:1.2087]==> (*CHO) ==[REACT_061, ΔG:1.4768]==> (*COCHO) ==[REACT_006, ΔG:-0.2253]==> (*CHOCHO) ==[REACT_015, ΔG:0.1258]==> (*CHOCH2O) ==[REACT_016, ΔG:-1.8899]==> (*CHOHCH2O) ==[REACT_017, ΔG:1.5732]==> (*CH2OHCH2O) ==[REACT_020, ΔG:-1.6918]==> (*CH2CH2O) ==[REACT_021, ΔG:0.549]==> (*CH2CH2OH) ==[REACT_054, ΔG:-1.5649]==> (CH3CH2OH)",(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*CHO) -> (*COCHO) -> (*CHOCHO) -> (*CHOCH2O) -> (*CHOHCH2O) -> (*CH2OHCH2O) -> (*CH2CH2O) -> (*CH2CH2OH) -> (CH3CH2OH)
10,12,-0.52,6.46,"(CO2) ==[REACT_001, ΔG:0.0264]==> (*CO2) ==[REACT_002, ΔG:2.0926]==> (*COOH) ==[REACT_003, ΔG:-1.5627]==> (*CO) ==[REACT_059, ΔG:2.9495]==> (*COH) ==[REACT_062, ΔG:-0.058]==> (*COHCO) ==[REACT_027, ΔG:-0.4064]==> (*COHCOH) ==[REACT_029, ΔG:0.1219]==> (*CHOHCOH) ==[REACT_031, ΔG:-0.9001]==> (*CH2OHCOH) ==[REACT_041, ΔG:-0.7072]==> (*CH2COH) ==[REACT_042, ΔG:-1.7832]==> (*CH2CHOH) ==[REACT_043, ΔG:1.2731]==> (*CH2CH2OH) ==[REACT_054, ΔG:-1.5649]==> (CH3CH2OH)",(CO2) -> (*CO2) -> (*COOH) -> (*CO) -> (*COH) -> (*COHCO) -> (*COHCOH) -> (*CHOHCOH) -> (*CH2OHCOH) -> (*CH2COH) -> (*CH2CHOH) -> (*CH2CH2OH) -> (CH3CH2OH)
