Reaction,dG0_Base (eV),U_SHE (V),pH,dG_Corrected (eV)
*CO + H+ + e- -> *CHO,1.2087,-2.0,0,-0.7913
*CO + H+ + e- -> *CHO,1.2087,-1.9,0,-0.6913
*CO + H+ + e- -> *CHO,1.2087,-1.8,0,-0.5913
*CO + H+ + e- -> *CHO,1.2087,-1.7,0,-0.4913
*CO + H+ + e- -> *CHO,1.2087,-1.6,0,-0.3913
*CO + H+ + e- -> *CHO,1.2087,-1.5,0,-0.2913
*CO + H+ + e- -> *CHO,1.2087,-1.4,0,-0.1913
*CO + H+ + e- -> *CHO,1.2087,-1.3,0,-0.0913
*CO + H+ + e- -> *CHO,1.2087,-1.2,0,0.0087
*CO + H+ + e- -> *CHO,1.2087,-1.1,0,0.1087
*CO + H+ + e- -> *CHO,1.2087,-1.0,0,0.2087
*CO + H+ + e- -> *CHO,1.2087,-0.9,0,0.3087
*CO + H+ + e- -> *CHO,1.2087,-0.8,0,0.4087
*CO + H+ + e- -> *CHO,1.2087,-0.7,0,0.5087
*CO + H+ + e- -> *CHO,1.2087,-0.6,0,0.6087
*CO + H+ + e- -> *CHO,1.2087,-0.5,0,0.7087
*CO + H+ + e- -> *CHO,1.2087,-0.4,0,0.8087
*CO + H+ + e- -> *CHO,1.2087,-0.3,0,0.9087
*CO + H+ + e- -> *CHO,1.2087,-0.2,0,1.0087
*CO + H+ + e- -> *CHO,1.2087,-0.1,0,1.1087
*CO + H+ + e- -> *CHO,1.2087,0.0,0,1.2087
*CO + H+ + e- -> *CHO,1.2087,0.1,0,1.3087
*CO + H+ + e- -> *CHO,1.2087,0.2,0,1.4087
*CO + H+ + e- -> *CHO,1.2087,0.3,0,1.5087
*CO + H+ + e- -> *CHO,1.2087,0.4,0,1.6087
*CO + H+ + e- -> *CHO,1.2087,0.5,0,1.7087
*CO + H+ + e- -> *CHO,1.2087,0.6,0,1.8087
*CO + H+ + e- -> *CHO,1.2087,0.7,0,1.9087
*CO + H+ + e- -> *CHO,1.2087,0.8,0,2.0087
*CO + H+ + e- -> *CHO,1.2087,0.9,0,2.1087
*CO + H+ + e- -> *CHO,1.2087,1.0,0,2.2087
*CO + H+ + e- -> *CHO,1.2087,1.1,0,2.3087
*CO + H+ + e- -> *CHO,1.2087,1.2,0,2.4087
*CO + H+ + e- -> *CHO,1.2087,1.3,0,2.5087
*CO + H+ + e- -> *CHO,1.2087,1.4,0,2.6087
*CO + H+ + e- -> *CHO,1.2087,1.5,0,2.7087
*CO + H+ + e- -> *CHO,1.2087,1.6,0,2.8087
*CO + H+ + e- -> *CHO,1.2087,1.7,0,2.9087
*CO + H+ + e- -> *CHO,1.2087,1.8,0,3.0087
*CO + H+ + e- -> *CHO,1.2087,1.9,0,3.1087
*CO + H+ + e- -> *CHO,1.2087,2.0,0,3.2087
