Reaction,dG0_Base (eV),Fixed_U_SHE (V),pH,dG_Corrected (eV)
*CO + H+ + e- -> *CHO,1.2087,0.0,0,1.2087
*CO + H+ + e- -> *CHO,1.2087,0.0,1,1.2679
*CO + H+ + e- -> *CHO,1.2087,0.0,2,1.327
*CO + H+ + e- -> *CHO,1.2087,0.0,3,1.3862
*CO + H+ + e- -> *CHO,1.2087,0.0,4,1.4453
*CO + H+ + e- -> *CHO,1.2087,0.0,5,1.5045
*CO + H+ + e- -> *CHO,1.2087,0.0,6,1.5636
*CO + H+ + e- -> *CHO,1.2087,0.0,7,1.6228
*CO + H+ + e- -> *CHO,1.2087,0.0,8,1.682
*CO + H+ + e- -> *CHO,1.2087,0.0,9,1.7411
*CO + H+ + e- -> *CHO,1.2087,0.0,10,1.8003
*CO + H+ + e- -> *CHO,1.2087,0.0,11,1.8594
*CO + H+ + e- -> *CHO,1.2087,0.0,12,1.9186
*CO + H+ + e- -> *CHO,1.2087,0.0,13,1.9777
*CO + H+ + e- -> *CHO,1.2087,0.0,14,2.0369
