Reaction,dG0_Base (eV),Fixed_U_SHE (V),pH,dG_Corrected (eV)
*CO + H+ + e- -> *COH,2.9495,0.0,0,2.9495
*CO + H+ + e- -> *COH,2.9495,0.0,1,3.0087
*CO + H+ + e- -> *COH,2.9495,0.0,2,3.0678
*CO + H+ + e- -> *COH,2.9495,0.0,3,3.127
*CO + H+ + e- -> *COH,2.9495,0.0,4,3.1861
*CO + H+ + e- -> *COH,2.9495,0.0,5,3.2453
*CO + H+ + e- -> *COH,2.9495,0.0,6,3.3044
*CO + H+ + e- -> *COH,2.9495,0.0,7,3.3636
*CO + H+ + e- -> *COH,2.9495,0.0,8,3.4228
*CO + H+ + e- -> *COH,2.9495,0.0,9,3.4819
*CO + H+ + e- -> *COH,2.9495,0.0,10,3.5411
*CO + H+ + e- -> *COH,2.9495,0.0,11,3.6002
*CO + H+ + e- -> *COH,2.9495,0.0,12,3.6594
*CO + H+ + e- -> *COH,2.9495,0.0,13,3.7185
*CO + H+ + e- -> *COH,2.9495,0.0,14,3.7777
